timestamp,best_bid,best_ask,mid,bid_quote,ask_quote,imbalance,inventory,cash,pnl
2025-12-30T11:53:37.778759,9980.0,9982.0,9981.0,9978.33,9983.33,0.084,1,-9938.25,42.75
2025-12-30T11:53:38.090189,9987.0,9991.0,9989.0,9986.39,9991.39,0.1259,1,-9938.25,50.75
2025-12-30T11:53:38.391378,9980.0,9982.0,9981.0,9978.04,9983.04,-0.1086,1,-9938.25,42.75
2025-12-30T11:53:38.714586,10003.0,10005.0,10004.0,10001.73,10006.73,0.3529,1,-9938.25,65.75
2025-12-30T11:53:39.026146,9989.0,9991.0,9990.0,9987.28,9992.28,0.0541,1,-9938.25,51.75
2025-12-30T11:53:39.338765,10005.0,10007.0,10006.0,10002.9,10007.9,-0.1985,1,-9938.25,67.75
2025-12-30T11:53:39.650431,9978.0,9982.0,9980.0,9976.66,9981.66,-0.3611,1,-9938.25,41.75
2025-12-30T11:53:39.960063,9995.0,9997.0,9996.0,9993.8,9998.8,0.4,1,-9938.25,57.75
2025-12-30T11:53:40.260749,10002.0,10004.0,10003.0,10000.76,10005.76,0.373,1,-9938.25,64.75
2025-12-30T11:53:40.569709,9982.0,9986.0,9984.0,9981.37,9986.37,0.1146,1,-9938.25,45.75
2025-12-30T11:53:40.870931,9988.0,9992.0,9990.0,9987.53,9992.53,0.2201,1,-9938.25,51.75
2025-12-30T11:53:41.182822,9981.0,9985.0,9983.0,9979.83,9984.83,-0.2489,1,-9938.25,44.75
2025-12-30T11:53:41.497746,9996.0,9998.0,9997.0,9994.89,9999.89,0.4605,1,-9938.25,58.75
2025-12-30T11:53:41.804037,9983.0,9987.0,9985.0,9981.72,9986.72,-0.3208,1,-9938.25,46.75
2025-12-30T11:53:42.107388,10005.0,10007.0,10006.0,10002.79,10007.79,-0.2714,1,-9938.25,67.75
2025-12-30T11:53:42.417941,10016.0,10020.0,10018.0,10014.93,10019.93,-0.179,1,-9938.25,79.75
2025-12-30T11:53:42.730638,9990.0,9992.0,9991.0,9988.67,9993.67,0.3163,1,-9938.25,52.75
2025-12-30T11:53:43.031568,10002.0,10006.0,10004.0,10001.58,10006.58,0.2511,1,-9938.25,65.75
2025-12-30T11:53:43.344186,10015.0,10017.0,10016.0,10012.91,10017.91,-0.1909,1,-9938.25,77.75
2025-12-30T11:53:43.666773,9983.0,9987.0,9985.0,9982.71,9987.71,0.3378,1,-9938.25,46.75
2025-12-30T11:53:43.973855,9997.0,10001.0,9999.0,9996.74,10001.74,0.3589,1,-9938.25,60.75
2025-12-30T11:53:44.282733,9983.0,9987.0,9985.0,9982.31,9987.31,0.0756,1,-9938.25,46.75
2025-12-30T11:53:44.590631,10009.0,10011.0,10010.0,10007.67,10012.67,0.3108,1,-9938.25,71.75
2025-12-30T11:53:44.904254,9991.0,9993.0,9992.0,9988.47,9993.47,-0.4851,1,-9938.25,53.75
2025-12-30T11:53:45.212584,10004.0,10006.0,10005.0,10001.65,10006.65,-0.3671,1,-9938.25,66.75
2025-12-30T11:53:45.527151,10008.0,10012.0,10010.0,10007.03,10012.03,-0.1118,1,-9938.25,71.75
2025-12-30T11:53:45.839039,10014.0,10016.0,10015.0,10012.66,10017.66,0.304,1,-9938.25,76.75
2025-12-30T11:53:46.167024,9980.0,9984.0,9982.0,9978.61,9983.61,-0.3951,1,-9938.25,43.75
2025-12-30T11:53:46.472297,9986.0,9990.0,9988.0,9985.44,9990.44,0.1573,1,-9938.25,49.75
2025-12-30T11:53:46.778871,9985.0,9987.0,9986.0,9983.08,9988.08,-0.0782,1,-9938.25,47.75
2025-12-30T11:53:47.081435,10012.0,10014.0,10013.0,10010.43,10015.43,0.1562,1,-9938.25,74.75
2025-12-30T11:53:47.398495,10014.0,10016.0,10015.0,10012.67,10017.67,0.3147,1,-9938.25,76.75
2025-12-30T11:53:47.714331,10008.0,10010.0,10009.0,10005.99,10010.99,-0.1429,1,-9938.25,70.75
2025-12-30T11:53:48.027338,10000.0,10004.0,10002.0,9999.94,10004.94,0.49,1,-9938.25,63.75
2025-12-30T11:53:48.338510,9990.0,9992.0,9991.0,9987.74,9992.74,-0.3088,1,-9938.25,52.75
2025-12-30T11:53:48.667645,9992.0,9996.0,9994.0,9991.05,9996.05,-0.1011,1,-9938.25,55.75
2025-12-30T11:53:48.970651,10016.0,10018.0,10017.0,10014.0,10019.0,-0.1342,1,-9938.25,78.75
2025-12-30T11:53:49.280061,10005.0,10007.0,10006.0,10003.24,10008.24,0.0273,1,-9938.25,67.75
2025-12-30T11:53:49.585777,10004.0,10006.0,10005.0,10002.17,10007.17,-0.0185,1,-9938.25,66.75
2025-12-30T11:53:49.887119,9994.0,9998.0,9996.0,9993.03,9998.03,-0.1111,1,-9938.25,57.75
2025-12-30T11:53:50.198330,10019.0,10021.0,10020.0,10017.24,10022.24,0.0299,1,-9938.25,81.75
2025-12-30T11:53:50.502081,9988.0,9990.0,9989.0,9986.26,9991.26,0.04,1,-9938.25,50.75
2025-12-30T11:53:50.815346,9994.0,9996.0,9995.0,9992.45,9997.45,0.1682,1,-9938.25,56.75
2025-12-30T11:53:51.117815,9998.0,10002.0,10000.0,9997.19,10002.19,-0.0064,1,-9938.25,61.75
2025-12-30T11:53:51.432400,9980.0,9984.0,9982.0,9979.78,9984.78,0.3852,1,-9938.25,43.75
2025-12-30T11:53:51.742854,9988.0,9990.0,9989.0,9986.32,9991.32,0.0808,1,-9938.25,50.75
2025-12-30T11:53:52.058653,10002.0,10006.0,10004.0,10000.76,10005.76,-0.2917,1,-9938.25,65.75
2025-12-30T11:53:52.369357,10012.0,10014.0,10013.0,10010.18,10015.18,-0.0104,1,-9938.25,74.75
2025-12-30T11:53:52.670264,10007.0,10009.0,10008.0,10005.33,10010.33,0.087,1,-9938.25,69.75
2025-12-30T11:53:52.979614,9991.0,9995.0,9993.0,9990.94,9995.94,0.4957,1,-9938.25,54.75
